Word_Lib.Type_Syntax                                   0.069     0.557     0.000
Word_Lib.Strict_part_mono                              0.066     0.529     0.000
HOL-Eisbach.Eisbach_Tools                              0.055     0.439     0.000
Word_Lib.Hex_Words                                     0.052     0.407     0.000
Word_Lib.Word_Names                                    0.047     0.375     0.000
Word_Lib.Syntax_Bundles                                0.042     0.330     0.000
--------------------------------------------------------------------------------
TOTAL                                                 81.981   472.819    10.635

--- Simpl-VCG  (18 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
Simpl-VCG.Language                                    18.392    34.783     1.194
Simpl-VCG.Vcg                                          5.810    25.908     1.502
Simpl-VCG.Semantic                                     4.167    17.970     0.482
HOL-Library.Old_Recdef                                 3.542    10.330     0.000
HOL-Statespace.DistinctTreeProver                      3.351     9.679     0.000
Simpl-VCG.SmallStep                                    2.330    16.534     0.717
HOL-Statespace.StateSpaceLocale                        2.104     6.918     0.455
Simpl-VCG.HoarePartial                                 1.909    13.236     0.717
Simpl-VCG.HoareTotal                                   1.663    10.487     0.556
Simpl-VCG.HoareTotalProps                              1.568    10.467     0.674
Simpl-VCG.Termination                                  1.331     9.260     0.734
Simpl-VCG.HoarePartialProps                            1.166     9.199     0.000
Simpl-VCG.HoarePartialDef                              0.986     6.506     0.734
Simpl-VCG.HoareTotalDef                                0.888     6.981     0.000
Simpl-VCG.Generalise                                   0.582     1.813     0.000
Simpl-VCG.StateSpace                                   0.553     2.451     0.000
Simpl-VCG.Hoare                                        0.378     2.715     0.000
HOL-Statespace.StateFun                                0.320     1.089     0.000
--------------------------------------------------------------------------------
TOTAL                                                 51.040   196.326     7.765

--- CParser  (35 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
CParser.CTypesDefs                                    19.696    28.400     0.868
CParser.CTranslation                                  10.452    61.115     2.362
CParser.CTypesBase                                     4.976    20.938     0.577
CParser.StaticFun                                      4.810    19.153     0.577
CParser.CProof                                         3.448    17.163     0.483
CParser.Arrays                                         2.941    11.923     0.000
CParser.TypHeap                                        2.904    14.517     0.269
CParser.MapExtra                                       2.423     9.758     0.000
CParser.CTypes                                         2.079    12.200     0.390
CParser.SepCode                                        1.860    11.561     0.341
CParser.ArchArraysMemInstance                          1.477     7.822     0.266
